Date,Open,High,Low,Close,Volume,Market Cap
"Aug 15, 2017",34.85,36.10,30.67,31.23,"763,238","43,659,400"
"Aug 14, 2017",36.80,38.09,32.76,34.65,"763,860","46,104,500"
"Aug 13, 2017",43.83,46.78,33.13,36.78,"1,431,600","54,913,000"
"Aug 12, 2017",34.64,47.85,32.80,43.37,"2,680,510","43,392,300"
"Aug 11, 2017",26.46,41.47,26.06,33.64,"3,202,390","33,143,700"
"Aug 10, 2017",28.84,29.21,26.46,26.46,"748,370","36,136,200"
"Aug 09, 2017",27.96,33.04,26.79,29.24,"1,128,830","35,034,100"
"Aug 08, 2017",27.86,28.34,25.22,27.97,"521,900","34,067,900"
"Aug 07, 2017",28.32,30.01,26.70,27.93,"456,117","34,625,700"
"Aug 06, 2017",29.42,29.76,27.60,28.38,"386,351","35,980,100"
"Aug 05, 2017",26.66,30.41,26.59,29.25,"558,040","32,606,100"
"Aug 04, 2017",26.80,28.27,26.47,26.63,"403,184","32,772,500"
"Aug 03, 2017",26.26,28.38,25.59,27.17,"320,060","32,107,700"
"Aug 02, 2017",26.15,29.96,24.75,26.23,"551,211","31,986,000"
"Aug 01, 2017",25.65,30.04,24.18,26.17,"305,623","31,374,200"
"Jul 31, 2017",26.01,26.47,24.69,25.28,"166,615","31,810,000"
"Jul 30, 2017",25.88,27.32,24.76,26.51,"116,912","31,649,900"
"Jul 29, 2017",25.28,26.29,24.13,25.87,"120,964","30,920,300"
"Jul 28, 2017",27.72,28.26,24.15,25.37,"214,957","33,899,000"
"Jul 27, 2017",27.48,28.43,26.25,27.64,"163,616","33,610,800"
"Jul 26, 2017",27.65,28.93,24.75,26.97,"323,792","33,814,100"
"Jul 25, 2017",33.69,33.89,25.92,27.29,"460,800","41,210,000"
"Jul 24, 2017",33.01,36.16,32.04,33.69,"551,830","40,370,800"
"Jul 23, 2017",36.59,37.54,32.41,32.89,"515,553","44,748,100"
"Jul 22, 2017",34.14,41.15,33.96,36.59,"909,922","41,751,100"
"Jul 21, 2017",35.87,38.40,33.27,34.14,"320,166","43,866,500"
"Jul 20, 2017",27.93,39.44,26.73,35.54,"1,116,080","34,174,900"
"Jul 19, 2017",25.08,35.93,23.53,28.23,"1,959,790","30,689,100"
"Jul 18, 2017",23.11,29.48,20.47,25.31,"550,981","28,272,600"
"Jul 17, 2017",17.46,22.79,17.46,22.69,"272,026","21,363,400"
